0,0,mouse
1,1,nose
2,2,nose
3,248,nose
4,4,nose
5,5,nose
6,6,nose
7,249,eye1
8,8,forehead
9,9,forehead
10,10,forehead
11,11,mouse
12,12,mouse
13,13,mouse
14,14,mouse
15,15,mouse
16,16,mouse
17,17,mouse
18,18,mouse
19,19,nose
20,250,nose
21,251,forehead
22,252,eye
23,253,eye
24,254,eye
25,255,eye
26,256,eye
27,257,eye
28,258,eye
29,259,eye
30,260,eye
31,261,eye
32,262,chin
33,263,eye1
34,264,eair
35,265,temple
36,266,cheek
37,267,mouse
38,268,mouse
39,269,mouse
40,270,mouse
41,271,mouse
42,272,mouse
43,273,mouse
44,274,nose
45,275,nose
46,276,temple
47,277,nose
48,278,nose
49,279,nose
50,280,cheek
51,281,nose
52,282,forehead
53,283,forehead
54,284,forehead
55,285,forehead
56,286,eye
57,287,mouse
58,288,cheek
59,289,nose
60,290,nose
61,291,mouse
62,292,mouse
63,293,forehead
64,294,nose
65,295,forehead
66,296,forehead
67,297,forehead
68,298,forehead
69,299,forehead
70,300,temple
71,301,forehead
72,302,mouse
73,303,mouse
74,304,mouse
75,305,nose
76,306,mouse
77,307,mouse
78,308,mouse
79,309,nose
80,310,mouse
81,311,mouse
82,312,mouse
83,313,mouse
84,314,mouse
85,315,mouse
86,316,mouse
87,317,mouse
88,318,mouse
89,319,mouse
90,320,mouse
91,321,mouse
92,322,mouse
93,323,cheek
94,94,nose
95,324,mouse
96,325,mouse
97,326,nose
98,327,nose
99,328,nose
100,329,cheek
101,330,cheek
102,331,nose
103,332,forehead
104,333,forehead
105,334,forehead
106,335,mouse
107,336,forehead
108,337,forehead
109,338,forehead
110,339,eye
111,340,cheek
112,341,eye
113,342,eye
114,343,nose
115,344,nose
116,345,cheek
117,346,cheek
117,346,cheek
118,347,cheek
119,348,cheek
120,349,cheek
121,350,eye
122,351,nose
123,352,cheek
124,353,temple
125,354,nose
126,355,nose
127,356,eair
128,357,eye
129,358,nose
130,359,eye
131,360,nose
132,361,cheek
133,362,eye1
134,363,nose
135,364,chin
136,365,chin
137,366,cheek
138,367,cheek
139,368,temple
140,369,chin
141,370,nose
142,371,cheek
143,372,temple
144,373,eye1
145,374,eye1
146,375,mouse
147,376,cheek
148,377,chin
149,378,chin
150,379,chin
151,151,forehead
152,152,chin
153,380,eye1
154,381,eye1
155,382,eye1
156,383,temple
157,384,eye1
158,385,eye1
159,386,eye1
160,387,eye1
161,388,eye1
162,389,temple
163,390,eye1
164,164,mouse
165,391,mouse
166,392,nose
167,393,mouse
168,168,forehead
169,394,chin
170,395,chin
171,396,chin
172,397,cheek
173,398,eye1
174,399,nose
175,175,chin
176,400,chin
177,401,cheek
178,402,mouse
179,403,mouse
180,404,mouse
181,405,mouse
182,406,mouse
183,407,mouse
184,408,mouse
185,409,mouse
186,410,mouse
187,411,cheek
188,412,nose
189,413,eye
190,414,eye
191,415,mouse
192,416,cheek
193,417,forehead
194,418,chin
195,195,nose
196,419,nose
197,197,nose
198,420,nose
199,199,chin
200,200,chin
201,421,chin
202,422,chin
203,423,cheek
204,424,chin
205,425,cheek
206,426,cheek
207,427,cheek
208,428,chin
209,429,nose
210,430,chin
211,431,chin
212,432,cheek
213,433,cheek
214,434,cheek
215,435,cheek
216,436,cheek
217,437,nose
218,438,nose
219,439,nose
220,440,nose
221,441,eye
222,442,eye
223,443,eye
224,444,eye
224,444,eye
225,445,eye
226,446,eye
227,447,eair
228,448,eye
229,449,eye
230,450,eye
231,451,eye
232,452,eye
233,453,eye
234,454,cheek
235,455,nose
236,456,nose
237,457,nose
238,458,nose
239,459,nose
240,460,nose
241,461,nose
242,462,nose
243,463,eye
244,464,eye
245,465,nose
246,466,eye1
247,467,eye
